830 0 0 0 0 0 0 0 0 1 0 0 0 14 0 29 
840 0 0 0 0 0 0 0 0 0 0 0 0 14 0 29 
850 0 0 0 0 0 0 0 0 0 0 0 0 11 0 29 
860 0 0 0 0 0 0 0 0 0 0 0 0 11 0 21 
870 0 0 0 0 0 0 0 0 0 0 0 0 11 0 21 
880 0 0 0 0 0 0 0 0 0 0 0 0 11 0 21 
890 0 0 0 0 0 0 0 0 0 0 0 0 11 0 21 
900 0 0 0 0 0 0 0 0 0 0 0 0 11 0 21 
910 0 0 0 0 0 0 0 0 0 0 0 0 11 0 21 
920 0 0 0 0 0 0 0 0 0 0 0 0 8 0 14 
930 0 0 0 0 0 0 0 0 0 0 0 0 8 0 14 
940 0 0 0 0 0 0 0 0 0 0 0 0 6 0 14 
950 0 0 0 0 0 0 0 0 0 0 0 0 6 0 11 
960 0 0 0 0 0 0 0 0 0 0 0 0 4 0 11 
970 0 0 0 0 0 0 0 0 0 0 0 0 4 0 11 
980 0 0 0 0 0 0 0 0 0 0 0 0 4 0 11 
990 0 0 0 0 0 0 0 0 0 0 0 0 4 0 11 
